title,artists,rank,year
TiK ToK,Ke$ha,1,2010
Need You Now,Lady Antebellum,2,2010
"Hey, Soul Sister",Train,3,2010
California Gurls,Katy Perry Featuring Snoop Dogg,4,2010
OMG,Usher Featuring will.i.am,5,2010
Airplanes,B.o.B Featuring Hayley Williams,6,2010
Love The Way You Lie,Eminem Featuring Rihanna,7,2010
Bad Romance,Lady Gaga,8,2010
Dynamite,Taio Cruz,9,2010
Break Your Heart,Taio Cruz Featuring Ludacris,10,2010
Nothin' On You,B.o.B Featuring Bruno Mars,11,2010
I Like It,Enrique Iglesias Featuring Pitbull,12,2010
BedRock,Young Money Featuring Lloyd,13,2010
In My Head,Jason Derulo,14,2010
Rude Boy,Rihanna,15,2010
Telephone,Lady Gaga Featuring Beyonce,16,2010
Teenage Dream,Katy Perry,17,2010
Just The Way You Are,Bruno Mars,18,2010
Cooler Than Me,Mike Posner,19,2010
Imma Be,The Black Eyed Peas,20,2010
Empire State Of Mind,Jay-Z + Alicia Keys,21,2010
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,22,2010
Billionaire,Travie McCoy Featuring Bruno Mars,23,2010
Not Afraid,Eminem,24,2010
Replay,Iyaz ,25,2010
Sexy Chick,David Guetta Featuring Akon,26,2010
Breakeven,The Script,27,2010
Your Love Is My Drug,Ke$ha,28,2010
I Gotta Feeling,The Black Eyed Peas,29,2010
Fireflies,Owl City,30,2010
Say Aah,Trey Songz Featuring Fabolous,31,2010
Find Your Love,Drake,32,2010
 Alejandro,Lady Gaga,33,2010
Ridin' Solo,Jason Derulo,34,2010
Just A Dream,Nelly,35,2010
How Low,Ludacris,36,2010
Like A G6,Far*East Movement Featuring Cataracs & Dev,37,2010
Carry Out,Timbaland Featuring Justin Timberlake,38,2010
Haven't Met You Yet,Michael Buble,39,2010
Club Can't Handle Me,Flo Rida Featuring David Guetta,40,2010
Down, Jay Sean Featuring Lil Wayne,41,2010
Bulletproof,La Roux,42,2010
Whatcha Say,Jason Derulo,43,2010
Baby,Justin Bieber Featuring Ludacris,44,2010
Whataya Want From Me,Adam Lambert,45,2010
Mine,Taylor Swift,46,2010
Only Girl (In The World),Rihanna,47,2010
Live Like We're Dying,Kris Allen,48,2010
Hard,Rihanna Featuring Jeezy,49,2010
Young Forever,Jay-Z + Mr. Hudson,50,2010
Blah Blah Blah,Ke$ha Featuring 3OH!3,51,2010
Bottoms Up,Trey Songz Featuring Nicki Minaj,52,2010
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,53,2010
All The Right Moves,OneRepublic,54,2010
According To You,Orianthi,55,2010
My Chick Bad,Ludacris Featuring Nicki Minaj,56,2010
You Belong With Me,Taylor Swift,57,2010
Meet Me Halfway,The Black Eyed Peas,58,2010
Take It Off,Ke$ha,59,2010
Over,Drake,60,2010
Animal,Neon Trees,61,2010
Misery,Maroon 5,62,2010
Magic,B.o.B Featuring Rivers Cuomo,63,2010
Paparazzi,Lady Gaga,64,2010
Tie Me Down,New Boyz Featuring Ray J,65,2010
Your Love,Nicki Minaj,66,2010
Party In The U.S.A.,Miley Cyrus,67,2010
Deuces,Chris Brown Featuring Tyga & Kevin McCall,68,2010
3,Britney Spears,69,2010
Impossible,Shontelle,70,2010
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",71,2010
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,72,2010
My First Kiss,3OH!3 Featuring Ke$ha,73,2010
Already Gone,Kelly Clarkson,74,2010
Rock That Body,The Black Eyed Peas,75,2010
Secrets,OneRepublic,76,2010
Naturally,Selena Gomez & The Scene,77,2010
Un-Thinkable (I'm Ready),Alicia Keys,78,2010
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",79,2010
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",80,2010
Stuck Like Glue,Sugarland,81,2010
Hey Daddy (Daddy's Home),Usher Featuring Plies,82,2010
There Goes My Baby,Usher,83,2010
Today Was A Fairytale,Taylor Swift,84,2010
Say Something,Timbaland Featuring Drake,85,2010
Sweet Dreams ,Beyonce,86,2010
Use Somebody,Kings Of Leon,87,2010
Undo It,Carrie Underwood,88,2010
Eenie Meenie,Sean Kingston & Justin Bieber,89,2010
Right Above It,Lil Wayne Featuring Drake,90,2010
The House That Built Me,Miranda Lambert,91,2010
If I Die Young,The Band Perry,92,2010
The Only Exception,Paramore,93,2010
American Honey,Lady Antebellum,94,2010
King Of Anything,Sara Bareilles,95,2010
Life After You,Daughtry,96,2010
Smile,Uncle Kracker,97,2010
Teach Me How To Dougie,Cali Swag District,98,2010
Try Sleeping With A Broken Heart,Alicia Keys,99,2010
"Lover, Lover",Jerrod Niemann,100,2010
Rolling In The Deep,Adele,1,2011
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,2011
Firework, Katy Perry,3,2011
E.T.,Katy Perry Featuring Kanye West,4,2011
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,2011
Grenade,Bruno Mars,6,2011
Super Bass,Nicki Minaj,8,2011
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,9,2011
Just Can't Get Enough,The Black Eyed Peas,10,2011
On The Floor,Jennifer Lopez Featuring Pitbull,11,2011
S&M,Rihanna,12,2011
Pumped Up Kicks,Foster The People,13,2011
Last Friday Night (T.G.I.F.),Katy Perry,14,2011
Just The Way You Are,Bruno Mars,15,2011
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,16,2011
Raise Your Glass,P!nk,17,2011
Born This Way,Lady Gaga,18,2011
F**kin' Perfect,P!nk,19,2011
What's My Name?,Rihanna Featuring Drake,20,2011
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,21,2011
Down On Me,Jeremih Featuring 50 Cent,22,2011
How To Love,Lil Wayne,23,2011
Someone Like You,Adele,24,2011
Good Life,OneRepublic,25,2011
The Lazy Song,Bruno Mars,26,2011
Till The World Ends,Britney Spears,27,2011
The Show Goes On,Lupe Fiasco,28,2011
The Edge Of Glory,Lady Gaga,29,2011
We R Who We R,Ke$ha,30,2011
Black And Yellow,Wiz Khalifa,31,2011
Tonight Tonight,Hot Chelle Rae,32,2011
Blow,Ke$ha,33,2011
Lighters,Bad Meets Evil Featuring Bruno Mars,34,2011
If I Die Young,The Band Perry,35,2011
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,36,2011
The Time (Dirty Bit),The Black Eyed Peas,37,2011
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,38,2011
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,39,2011
Only Girl (In The World),Rihanna,40,2011
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,41,2011
Just A Kiss,Lady Antebellum,42,2011
Dirt Road Anthem,Jason Aldean,43,2011
Dynamite,Taio Cruz,44,2011
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,45,2011
I Wanna Go,Britney Spears,46,2011
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",47,2011
You Make Me Feel...,Cobra Starship Featuring Sabi,48,2011
Yeah 3X,Chris Brown,49,2011
Moment 4 Life,Nicki Minaj Featuring Drake,50,2011
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,51,2011
Just A Dream ,Nelly,52,2011
Motivation,Kelly Rowland Featuring Lil Wayne,53,2011
Stereo Love,Edward Maya & Vika Jigulina,54,2011
Jar Of Hearts,Christina Perri,55,2011
Roll Up,Wiz Khalifa,56,2011
Sexy And I Know It,LMFAO,57,2011
Rocketeer,Far*East Movement Featuring Ryan Tedder,58,2011
All Of The Lights,Kanye West,59,2011
Hold It Against Me,Britney Spears,60,2011
More,Usher,61,2011
What The Hell,Avril Lavigne,62,2011
Written In The Stars,Tinie Tempah Featuring Eric Turner,63,2011
Bottoms Up,Trey Songz Featuring Nicki Minaj,64,2011
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,65,2011
For The First Time,The Script,66,2011
Honey Bee,Blake Shelton,67,2011
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,68,2011
We Found Love,Rihanna Featuring Calvin Harris,69,2011
Pretty Girl Rock,Keri Hilson,70,2011
You And I,Lady Gaga,71,2011
Like A G6,Far*East Movement Featuring Cataracs & Dev,72,2011
Without You,David Guetta Featuring Usher,73,2011
Back To December,Taylor Swift,74,2011
Teenage Dream,Katy Perry,75,2011
Crazy Girl,Eli Young Band,76,2011
Cheers (Drink To That),Rihanna,77,2011
Who Says,Selena Gomez & The Scene,78,2011
Barefoot Blue Jean Night,Jake Owen,79,2011
Knee Deep,Zac Brown Band Featuring Jimmy Buffett,80,2011
Country Girl (Shake It For Me),Luke Bryan,81,2011
Remind Me,Brad Paisley Duet With Carrie Underwood,82,2011
In The Dark,Dev,83,2011
Backseat,New Boyz Featuring The Cataracs & Dev,84,2011
Headlines,Drake,85,2011
Best Thing I Never Had,Beyonce,86,2011
Don't Wanna Go Home,Jason Derulo,87,2011
Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,88,2011
She Ain't You,Chris Brown,89,2011
Take A Back Road,Rodney Atkins,90,2011
Please Don't Go,Mike Posner,91,2011
Sure Thing,Miguel,92,2011
Price Tag,Jessie J Featuring B.o.B,93,2011
God Gave Me You,Blake Shelton,94,2011
She Will ,Lil Wayne Featuring Drake,95,2011
Are You Gonna Kiss Me Or Not,Thompson Square,96,2011
Animal,Neon Trees,97,2011
You And Tequila,Kenny Chesney Featuring Grace Potter,98,2011
Colder Weather,Zac Brown Band,99,2011
My Last,Big Sean Featuring Chris Brown,100,2011
Somebody That I Used To Know,Gotye Featuring Kimbra,1,2012
Call Me Maybe,Carly Rae Jepsen,2,2012
We Are Young,fun. Featuring Janelle Monae,3,2012
Payphone,Maroon 5 Featuring Wiz Khalifa,4,2012
Lights,Ellie Goulding,5,2012
Glad You Came,The Wanted,6,2012
Stronger (What Doesn't Kill You),Kelly Clarkson,7,2012
We Found Love,Rihanna Featuring Calvin Harris,8,2012
Starships,Nicki Minaj,9,2012
What Makes You Beautiful,One Direction,10,2012
Wild Ones,Flo Rida Featuring Sia,11,2012
Set Fire To The Rain,Adele,12,2012
Sexy And I Know It,LMFAO,13,2012
Some Nights,fun.,14,2012
Wide Awake,Katy Perry,15,2012
Good Feeling,Flo Rida,16,2012
Whistle,Flo Rida,17,2012
One More Night,Maroon 5,18,2012
Drive By,Train,19,2012
The Motto,Drake Featuring Lil Wayne,20,2012
Where Have You Been,Rihanna,21,2012
Everybody Talks,Neon Trees,22,2012
Take Care,Drake Featuring Rihanna,23,2012
Titanium,David Guetta Featuring Sia,24,2012
I Won't Give Up,Jason Mraz,25,2012
It Will Rain,Bruno Mars,26,2012
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",27,2012
Boyfriend,Justin Bieber,28,2012
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,29,2012
Too Close,Alex Clare,30,2012
Part Of Me,Katy Perry,31,2012
" Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,32,2012
We Are Never Ever Getting Back Together,Taylor Swift,33,2012
As Long As You Love Me,Justin Bieber Featuring Big Sean,34,2012
Turn Me On,David Guetta Featuring Nicki Minaj,35,2012
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,36,2012
Blow Me (One Last Kiss),P!nk,37,2012
Good Time,Owl City & Carly Rae Jepsen,38,2012
Give Your Heart A Break,Demi Lovato,39,2012
Ni**as in Paris,Jay Z Kanye West,40,2012
The One That Got Away,Katy Perry,41,2012
Feel So Close,Calvin Harris,42,2012
Someone Like You,Adele,43,2012
Scream,Usher,44,2012
Rack City,Tyga,45,2012
Domino,Jessie J,46,2012
Gangnam Style,PSY,47,2012
International Love,Pitbull Featuring Chris Brown,48,2012
Home,Phillip Phillips,49,2012
Without You,David Guetta Featuring Usher,50,2012
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,51,2012
Wanted,Hunter Hayes,52,2012
Drunk On You,Luke Bryan,53,2012
No Lie,2 Chainz Featuring Drake,54,2012
Want U Back,Cher Lloyd,55,2012
Don't Wake Me Up,Chris Brown,56,2012
Dance (A$$),Big Sean Featuring Nicki Minaj,57,2012
Springsteen,Eric Church,58,2012
Brokenhearted,Karmin,59,2012
Not Over You,Gavin DeGraw,60,2012
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,61,2012
Back In Time,Pitbull,62,2012
Work Out,J. Cole,63,2012
Rumour Has It,Adele,64,2012
Let's Go,Calvin Harris Featuring Ne-Yo,65,2012
Good Girl,Carrie Underwood,66,2012
Pontoon,Little Big Town,67,2012
Ho Hey,The Lumineers,68,2012
Paradise,Coldplay,69,2012
Blown Away,Carrie Underwood,70,2012
Rolling In The Deep,Adele,71,2012
Climax,Usher,72,2012
"Work Hard, Play Hard",Wiz Khalifa,73,2012
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,74,2012
Pound The Alarm,Nicki Minaj,75,2012
Come Over,Kenny Chesney,76,2012
Heart Attack,Trey Songz,77,2012
Drank In My Cup,Kirko Bangz,78,2012
Birthday Cake,Rihanna Featuring Chris Brown,79,2012
So Good,B.o.B,80,2012
50 Ways To Say Goodbye,Train,81,2012
Red Solo Cup,Toby Keith,82,2012
Love You Like A Love Song,Selena Gomez & The Scene,83,2012
Turn Up The Music,Chris Brown,84,2012
Die Young,Ke$ha,85,2012
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,86,2012
A Thousand Years,Christina Perri,87,2012
Take A Little Ride,Jason Aldean,88,2012
You Da One,Rihanna,89,2012
We Run The Night,Havana Brown Featuring Pitbull,90,2012
It's Time,Imagine Dragons,91,2012
Cashin' Out,Ca$h Out,92,2012
I Don't Want This Night To End,Luke Bryan,93,2012
Diamonds,Rihanna,94,2012
Hard To Love,Lee Brice,95,2012
Somethin' 'Bout A Truck,Kip Moore,96,2012
Adorn,Miguel,97,2012
Fly Over States,Jason Aldean,98,2012
Even If It Breaks Your Heart,Eli Young Band,99,2012
Burn It Down,Linkin Park,100,2012
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,2013
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2,2013
Radioactive,Imagine Dragons,3,2013
Harlem Shake,Baauer,4,2013
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,5,2013
Mirrors,Justin Timberlake,6,2013
Just Give Me A Reason,P!nk Featuring Nate Ruess,7,2013
When I Was Your Man,Bruno Mars,8,2013
Cruise,Florida Georgia Line Featuring Nelly,9,2013
Roar,Katy Perry,10,2013
Locked Out Of Heaven,Bruno Mars,11,2013
Ho Hey,The Lumineers,12,2013
Stay,Rihanna Featuring Mikky Ekko,13,2013
Get Lucky,Daft Punk Featuring Pharrell Williams,14,2013
Royals,Lorde,15,2013
I Knew You Were Trouble.,Taylor Swift,16,2013
We Can't Stop,Miley Cyrus,17,2013
Wrecking Ball,Miley Cyrus,18,2013
Wake Me Up!,Avicii,19,2013
Suit & Tie,Justin Timberlake Featuring JAY Z,20,2013
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,21,2013
Holy Grail,Jay Z Featuring Justin Timberlake,22,2013
Scream & Shout,will.i.am & Britney Spears,23,2013
Clarity,Zedd Featuring Foxes,24,2013
Sail,AWOLNATION,25,2013
Don't You Worry Child,Swedish House Mafia Featuring John Martin,26,2013
Diamonds,Rihanna,27,2013
I Love It,Icona Pop Featuring Charli XCX,28,2013
Safe And Sound,Capital Cities,29,2013
Treasure,Bruno Mars,30,2013
The Way,Ariana Grande Featuring Mac Miller,31,2013
Started From The Bottom,Drake,32,2013
Come & Get It,Selena Gomez,33,2013
"Hold On, We're Going Home",Drake Featuring Majid Jordan,34,2013
Daylight,Maroon 5,35,2013
Feel This Moment,Pitbull Featuring Christina Aguilera,36,2013
Applause,Lady Gaga,37,2013
One More Night,Maroon 5,38,2013
Love Me,Lil Wayne Featuring Drake & Future,39,2013
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,40,2013
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",41,2013
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,42,2013
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,43,2013
Sweet Nothing,Calvin Harris Featuring Florence Welch,44,2013
Summertime Sadness,Lana Del Rey & Cedric Gervais,45,2013
 Home,Phillip Phillips,46,2013
It's Time,Imagine Dragons,47,2013
Power Trip,J. Cole Featuring Miguel,48,2013
Girl On Fire,Alicia Keys Featuring Nicki Minaj,49,2013
Heart Attack,Demi Lovato,50,2013
Love Somebody,Maroon 5,51,2013
I Will Wait,Mumford & Sons,52,2013
Try,P!nk,53,2013
Wagon Wheel,Darius Rucker,54,2013
Gangnam Style,PSY,55,2013
I Need Your Love,Calvin Harris Featuring Ellie Goulding,56,2013
Die Young,Ke$ha,57,2013
Some Nights,fun.,58,2013
Bad,Wale Featuring Tiara Thomas Or Rihanna,59,2013
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,60,2013
"Gone, Gone, Gone",Phillip Phillips,61,2013
Demons,Imagine Dragons ,62,2013
Counting Stars,OneRepublic,63,2013
I Cry,Flo Rida,64,2013
Little Talks,Of Monsters And Men,65,2013
The Other Side,Jason Derulo,66,2013
Berzerk,Eminem,67,2013
Catch My Breath,Kelly Clarkson,68,2013
Crash My Party,Luke Bryan,69,2013
Pour It Up,Rihanna,70,2013
22,Taylor Swift,71,2013
I Want Crazy,Hunter Hayes,72,2013
The Fox,Ylvis,73,2013
Best Song Ever,One Direction,74,2013
The A Team,Ed Sheeran,75,2013
Carry On,fun.,76,2013
Highway Don't Care,Tim McGraw With Taylor Swift,77,2013
That's My Kind Of Night,Luke Bryan,78,2013
Swimming Pools (Drank),Kendrick Lamar,79,2013
Sure Be Cool If You Did,Blake Shelton,80,2013
#Beautiful,Mariah Carey Featuring Miguel,81,2013
Troublemaker,Olly Murs Featuring Flo Rida,82,2013
Body Party,Ciara,83,2013
Adorn,Miguel,84,2013
Hall Of Fame,The Script Featuring will.i.am,85,2013
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,86,2013
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,87,2013
Next To Me,Emeli Sande,88,2013
Mama's Broken Heart,Miranda Lambert,89,2013
It Goes Like This,Thomas Rhett,90,2013
Bugatti,Ace Hood Featuring Future & Rick Ross,91,2013
Wanted,Hunter Hayes,92,2013
Downtown,Lady Antebellum,93,2013
Get Your Shine On,Florida Georgia Line,94,2013
#thatPOWER,will.i.am Featuring Justin Bieber,95,2013
Brave,Sara Bareilles,96,2013
Let Her Go,Passenger,97,2013
Runnin' Outta Moonlight,Randy Houser,98,2013
I'm Different,2 Chainz,99,2013
 Still Into You,Paramore,100,2013
Happy,Pharrell Williams,1,2014
Dark Horse,Katy Perry Featuring Juicy J,2,2014
All Of Me,John Legend,3,2014
Fancy,Iggy Azalea Featuring Charli XCX,4,2014
Counting Stars,OneRepublic,5,2014
Talk Dirty,Jason Derulo Featuring 2 Chainz,6,2014
Rude,MAGIC!,7,2014
All About That Bass,Meghan Trainor,8,2014
Problem,Ariana Grande Featuring Iggy Azalea,9,2014
Stay With Me,Sam Smith,10,2014
Timber,Pitbull Featuring Ke$ha,11,2014
Pompeii,Bastille,12,2014
Shake It Off,Taylor Swift,13,2014
Am I Wrong,Nico & Vinz,14,2014
Turn Down For What,DJ Snake & Lil Jon,15,2014
The Monster,Eminem Featuring Rihanna,16,2014
Say Something,A Great Big World & Christina Aguilera,17,2014
Team,Lorde,18,2014
Let Her Go,Passenger,19,2014
Royals,Lorde,20,2014
Let It Go,Idina Menzel,21,2014
Wake Me Up!,Avicii,22,2014
Demons,Imagine Dragons,23,2014
 Story Of My Life,One Direction,24,2014
Chandelier,Sia,25,2014
Black Widow,Iggy Azalea Featuring Rita Ora,26,2014
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",27,2014
Latch,Disclosure Featuring Sam Smith,28,2014
Maps,Maroon 5,29,2014
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,30,2014
Best Day Of My Life,American Authors,31,2014
Habits (Stay High),Tove Lo,32,2014
Summer,Calvin Harris,33,2014
Boom Clap,Charli XCX,34,2014
Drunk In Love,Beyonce Featuring Jay Z,35,2014
Anaconda,Nicki Minaj,36,2014
Break Free,Ariana Grande Featuring Zedd,37,2014
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,38,2014
Burn,Ellie Goulding,39,2014
Wiggle,Jason Derulo Featuring Snoop Dogg,40,2014
Rather Be,Clean Bandit Featuring Jess Glynne,41,2014
Don't Tell 'Em,Jeremih Featuring YG,42,2014
Show Me,Kid Ink Featuring Chris Brown,43,2014
Wrecking Ball,Miley Cyrus,44,2014
Not A Bad Thing,Justin Timberlake,45,2014
Roar,Katy Perry,46,2014
Ain't It Fun,Paramore,47,2014
The Man,Aloe Blacc,48,2014
This Is How We Roll, Florida Georgia Line Featuring Luke Bryan,49,2014
Classic,MKTO,50,2014
A Sky Full Of Stars,Coldplay,51,2014
Don't,Ed Sheeran,52,2014
Na Na,Trey Songz,53,2014
Hot Boy,Bobby Shmurda,54,2014
"Hold On, We're Going Home",Drake Featuring Majid Jordan,55,2014
Sing,Ed Sheeran,56,2014
Radioactive,Imagine Dragons,57,2014
My Hitta,YG Featuring Jeezy & Rich Homie Quan,58,2014
Cool Kids,Echosmith,59,2014
Hey Brother,Avicii,60,2014
Trumpets,Jason Derulo,61,2014
Animals,Maroon 5,62,2014
Burnin' It Down,Jason Aldean,63,2014
Play It Again,Luke Bryan,64,2014
2 On,Tinashe Featuring ScHoolboy Q,65,2014
Dirt,Florida Georgia Line,66,2014
Love Runs Out,OneRepublic,67,2014
Bottoms Up,Brantley Gilbert,68,2014
Shower,Becky G,69,2014
Me And My Broken Heart,Rixton,70,2014
Animals,Martin Garrix,71,2014
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,72,2014
American Kids,Kenny Chesney,73,2014
Brave,Sara Bareilles,74,2014
Sweater Weather,The Neighbourhood,75,2014
Leave The Night On,Sam Hunt,76,2014
New Flame,Chris Brown Featuring Usher & Rick Ross,77,2014
Love Never Felt So Good,Michael Jackson & Justin Timberlake,78,2014
Drunk On A Plane,Dierks Bentley,79,2014
Birthday,Katy Perry,80,2014
Bartender,Lady Antebellum,81,2014
La La La,Naughty Boy Featuring Sam Smith,82,2014
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,83,2014
Do What U Want,Lady Gaga Featuring R. Kelly,84,2014
Can't Remember To Forget You,Shakira Featuring Rihanna,85,2014
Amnesia,5 Seconds Of Summer,86,2014
No Mediocre,T.I. Featuring Iggy Azalea,87,2014
Come With Me Now,KONGOS,88,2014
Believe Me,Lil Wayne Featuring Drake,89,2014
23 ,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",90,2014
Beachin',Jake Owen,91,2014
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,92,2014
She Looks So Perfect ,5 Seconds Of Summer,93,2014
Stay The Night,Zedd Featuring Hayley Williams,94,2014
Partition,Beyonce,95,2014
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,96,2014
0 To 100 / The Catch Up,Drake,97,2014
I Don't Dance,Lee Brice,98,2014
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,99,2014
Adore You,Miley Cyrus,100,2014
Uptown Funk!,Mark Ronson Featuring Bruno Mars,1,2015
Thinking Out Loud,Ed Sheeran,2,2015
See You Again,Wiz Khalifa Featuring Charlie Puth,3,2015
Trap Queen,Fetty Wap,4,2015
Sugar,Maroon 5,5,2015
Shut Up And Dance,WALK THE MOON,6,2015
Blank Space,Taylor Swift,7,2015
Watch Me,Silento,8,2015
Earned It (Fifty Shades Of Grey),The Weeknd,9,2015
The Hills,The Weeknd,10,2015
 Cheerleader,OMI,11,2015
Can't Feel My Face,The Weeknd,12,2015
Love Me Like You Do,Ellie Goulding,13,2015
Take Me To Church,Hozier,14,2015
Bad Blood,Taylor Swift Featuring Kendrick Lamar,15,2015
Lean On,Major Lazer & DJ Snake Featuring MO,16,2015
Want To Want Me,Jason Derulo,17,2015
Shake It Off,Taylor Swift,18,2015
Where Are U Now,Skrillex & Diplo With Justin Bieber,19,2015
Fight Song,Rachel Platten,20,2015
679,Fetty Wap Featuring Remy Boyz,21,2015
Lips Are Movin,Meghan Trainor,22,2015
Worth It,Fifth Harmony Featuring Kid Ink,23,2015
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,24,2015
"Honey, I'm Good.",Andy Grammer,25,2015
I'm Not The Only One,Sam Smith,26,2015
Good For You,Selena Gomez Featuring A$AP Rocky,27,2015
All About That Bass,Meghan Trainor,28,2015
 Style,Taylor Swift,29,2015
Hotline Bling,Drake,30,2015
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",31,2015
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,32,2015
What Do You Mean?,Justin Bieber,33,2015
Photograph,Ed Sheeran,34,2015
Hello,Adele,35,2015
Stitches,Shawn Mendes,36,2015
Talking Body,Tove Lo,37,2015
Jealous,Nick Jonas,38,2015
Time Of Our Lives,Pitbull & Ne-Yo,39,2015
 Locked Away,R. City Featuring Adam Levine,40,2015
Somebody,Natalie La Rose Featuring Jeremih,41,2015
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,42,2015
